2459714.1402449999 1.0398132827 0.0169841948 TESS
2459714.1500289999 1.0111784060 0.0157667187 TESS
2459714.1598120001 0.9888203846 0.0150491334 TESS
2459714.1695949999 0.9900217352 0.0145976191 TESS
2459714.1793780001 0.9950891771 0.0140171007 TESS
2459714.1891609998 0.9910981131 0.0130334445 TESS
2459714.1989440001 0.9788669127 0.0126141812 TESS
2459714.2087269998 0.9836279699 0.0121505728 TESS
2459714.2185109998 0.9909408893 0.0119570666 TESS
2459714.2282940000 0.9908078538 0.0117313095 TESS
2459714.2380769998 0.9895581267 0.0113725168 TESS
2459714.2478600000 1.0080621509 0.0111991676 TESS
2459714.2576430002 1.0089530854 0.0110580694 TESS
2459714.2674260000 1.0098520827 0.0106549316 TESS
2459714.2772090002 1.0127828944 0.0102396997 TESS
2459714.2869920000 1.0089893678 0.0099776601 TESS
2459714.2967759999 1.0045105071 0.0095785537 TESS
2459714.3065590002 0.9897677584 0.0091915414 TESS
2459714.3163419999 0.9869578880 0.0099655660 TESS
2459714.3261250001 1.0203014140 0.0160811661 TESS
