59713.1742623490 0.1108060000 0.0017610000 TESS
59713.1841468050 0.1095410000 0.0016990000 TESS
59713.1899109260 0.1087900000 0.0016810000 TESS
59713.1956751040 0.1085490000 0.0016400000 TESS
59713.2014391550 0.1089090000 0.0015990000 TESS
59713.2072032520 0.1083980000 0.0015650000 TESS
59713.2129672220 0.1098420000 0.0015320000 TESS
59713.2187312610 0.1101130000 0.0015010000 TESS
59713.2244954280 0.1110820000 0.0014850000 TESS
59713.2302593630 0.1073940000 0.0014370000 TESS
59713.2360235300 0.1086870000 0.0014350000 TESS
59713.2417875230 0.1102770000 0.0014210000 TESS
