2390.6553572622 TESS
2390.6567461656 TESS
2390.6581350688 TESS
2390.6595239722 TESS
2390.6609128756 TESS
2390.6623017789 TESS
2390.6636906823 TESS
2390.6650795856 TESS
2390.6664684889 TESS
2390.6678573922 TESS
2390.6692462956 TESS
2390.6706351989 TESS
2390.6720241022 TESS
2390.6734130054 TESS
2390.6748019087 TESS
2390.6761908121 TESS
2390.6775797154 TESS
2390.6789686187 TESS
2390.6803575219 TESS
2390.6817464252 TESS
2390.6831353284 TESS
2390.6845242316 TESS
2390.6859131349 TESS
2390.6873020382 TESS
2390.6886909415 TESS
2390.6900798446 TESS
2390.6914687479 TESS
2390.6928576511 TESS
2390.6942465543 TESS
2390.6956354575 TESS
2390.6970243608 TESS
2390.6984132639 TESS
2390.6998021672 TESS
2390.7011910704 TESS
2390.7025799735 TESS
2390.7039688768 TESS
2390.7053577800 TESS
2390.7067466831 TESS
2390.7081355863 TESS
2390.7095244894 TESS
2390.7109133926 TESS
2390.7123022958 TESS
2390.7136911989 TESS
2390.7150801021 TESS
2390.7164690052 TESS
2390.7178579084 TESS
2390.7192468114 TESS
2390.7206357146 TESS
2390.7220246178 TESS
2390.7234135209 TESS
2390.7248024240 TESS
2390.7261913271 TESS
2390.7275802302 TESS
2390.7289691333 TESS
2390.7303580364 TESS
2390.7317469395 TESS
2390.7331358426 TESS
2390.7345247457 TESS
2390.7359136488 TESS
2390.7373025518 TESS
2390.7386914550 TESS
2390.7400803580 TESS
2390.7414692610 TESS
2390.7428581641 TESS
2390.7442470671 TESS
2390.7456359703 TESS
2390.7470248733 TESS
2390.7484137764 TESS
2390.7498026794 TESS
2390.7511915825 TESS
2390.7525804855 TESS
2390.7539693884 TESS
2390.7553582915 TESS
2390.7567471945 TESS
2390.7581360976 TESS
2390.7595250006 TESS
2390.7609139036 TESS
2390.7623028066 TESS
2390.7636917096 TESS
2390.7650806127 TESS
2390.7664695156 TESS
2390.7678584186 TESS
2390.7692473216 TESS
2390.7706362246 TESS
2390.7720251275 TESS
2390.7734140306 TESS
2390.7748029335 TESS
2390.7761918365 TESS
2390.7775807395 TESS
2390.7789696424 TESS
2390.7803585454 TESS
2390.7817474484 TESS
2390.7831363513 TESS
2390.7845252542 TESS
2390.7859141572 TESS
2390.7873030602 TESS
2390.7886919631 TESS
2390.7900808660 TESS
2390.7914697690 TESS
2390.7928586719 TESS
2390.7942475748 TESS
2390.7956364777 TESS
