2459714.147855764   0.143215 0.000169
2459714.157638009   0.142817 0.000165
2459714.1674204282  0.141536 0.000165
2459714.1772027086  0.142318 0.000161
2459714.1869849423  0.144073 0.000158
2459714.196767361   0.145802 0.000157
2459714.206549618   0.146301 0.000157
2459714.2163320486  0.146150 0.000155
2459714.2261142824  0.146338 0.000154
2459714.235896898   0.147360 0.000155
2459714.245679155   0.149259 0.000155
2459714.2554615973  0.150244 0.000156
2459714.265244005   0.150009 0.000155
2459714.2750263195  0.149902 0.000154
2459714.2848087037  0.148941 0.000153
2459714.294590995   0.148704 0.000152
2459714.304373449   0.148644 0.000151
2459714.3141558217  0.152980 0.000154
